epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
62,13396.9,0.64342,0.43132,1.17475,0.96863,0.93576,0.92958,0.80694,0.65699,0.47165,1.37771,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,13610.7,0.64113,0.42516,1.17154,0.95995,0.94196,0.92687,0.80333,0.65963,0.48932,1.38361,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13825.1,0.64265,0.42067,1.17747,0.94986,0.94972,0.9262,0.8028,0.65874,0.49122,1.3785,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,14043.7,0.6415,0.42704,1.1753,0.95402,0.9493,0.92824,0.79973,0.66087,0.48821,1.37927,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,14259.8,0.63538,0.41275,1.17141,0.94831,0.95054,0.92629,0.80437,0.65857,0.47624,1.37776,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,14473.4,0.63081,0.40643,1.16809,0.92273,0.94831,0.92775,0.80202,0.66341,0.50105,1.38542,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,14685.8,0.63098,0.40818,1.16548,0.95398,0.94668,0.92289,0.80148,0.65974,0.51809,1.37982,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,14900.8,0.63232,0.4046,1.16405,0.96068,0.94062,0.92471,0.79964,0.65889,0.50623,1.37844,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,15116,0.62959,0.39665,1.16658,0.92273,0.93576,0.92185,0.79913,0.65731,0.50254,1.38122,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,15330.2,0.6236,0.39532,1.16309,0.91393,0.94822,0.92136,0.8003,0.65687,0.50145,1.37934,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,15543.8,0.62614,0.39654,1.16578,0.92663,0.94185,0.92127,0.80257,0.65559,0.50503,1.38106,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,15762.7,0.62323,0.39527,1.16126,0.95387,0.95443,0.92599,0.80693,0.65306,0.48642,1.3804,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15981,0.6284,0.38762,1.1628,0.96132,0.94923,0.92699,0.80711,0.6546,0.47308,1.37918,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,16200.6,0.62232,0.38517,1.16108,0.96165,0.94404,0.92638,0.80528,0.65352,0.47564,1.3767,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,16417.2,0.61709,0.37869,1.15728,0.95931,0.94385,0.92761,0.80756,0.65652,0.46548,1.38078,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,16635.3,0.6185,0.38405,1.1608,0.95841,0.93787,0.92705,0.80722,0.65514,0.47124,1.37777,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,16852.7,0.61607,0.37445,1.15464,0.94476,0.9498,0.92726,0.80716,0.65466,0.47455,1.37866,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,2037.71,0.60878,0.36652,1.15024,0.95119,0.96116,0.92932,0.8084,0.65395,0.47907,1.37764,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,2243.75,0.60941,0.369,1.15236,0.95068,0.95595,0.92559,0.80655,0.65176,0.48647,1.37727,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,2449.88,0.61008,0.36562,1.152,0.95516,0.95283,0.92656,0.80632,0.65444,0.4871,1.37979,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,2656.63,0.60527,0.36135,1.14877,0.95215,0.96096,0.92711,0.80594,0.65306,0.48298,1.37677,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,2866.91,0.604,0.35944,1.1515,0.94869,0.95398,0.92496,0.80733,0.6518,0.48337,1.37493,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,3075.45,0.60335,0.36126,1.15065,0.94883,0.95575,0.92397,0.80441,0.65438,0.4862,1.37912,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,3287.29,0.59823,0.34954,1.14554,0.94605,0.9617,0.92285,0.80308,0.65656,0.48596,1.3827,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,3499.95,0.59841,0.35185,1.14621,0.94825,0.96113,0.92443,0.80236,0.65786,0.48666,1.38619,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,3714.53,0.59564,0.34451,1.1439,0.95711,0.94894,0.92895,0.80546,0.6575,0.49216,1.38624,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,3926.13,0.59373,0.34031,1.14505,0.95249,0.9497,0.92777,0.80504,0.65837,0.49431,1.38655,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,4136.16,0.58923,0.34132,1.14022,0.95584,0.94941,0.92659,0.80562,0.65878,0.49387,1.38649,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,4347.13,0.58683,0.33248,1.13747,0.95446,0.9498,0.92529,0.8027,0.66032,0.49493,1.38964,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,4561.59,0.47309,0.20186,1.19079,0.94937,0.95575,0.92435,0.80253,0.65994,0.48826,1.38895,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,4771.61,0.46508,0.19241,1.17958,0.95284,0.95497,0.92683,0.80517,0.66062,0.48611,1.39004,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,4979.96,0.46399,0.18977,1.17904,0.95837,0.95628,0.9299,0.80556,0.65981,0.48506,1.39031,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,5184,0.45774,0.18923,1.17503,0.96391,0.94886,0.93047,0.80542,0.66096,0.48414,1.39265,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,5392.35,0.45204,0.1849,1.16769,0.96409,0.94947,0.9301,0.8054,0.66126,0.48276,1.39473,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,5598.72,0.45264,0.18421,1.17147,0.96316,0.95048,0.93072,0.8058,0.66255,0.48017,1.39768,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,5802.36,0.44879,0.18251,1.16075,0.95636,0.95668,0.93099,0.80592,0.66265,0.47967,1.39936,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,6010.32,0.44328,0.18023,1.15742,0.95324,0.95668,0.931,0.80582,0.66358,0.47862,1.40124,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,6220.35,0.44628,0.1797,1.15806,0.95831,0.94395,0.92974,0.80508,0.6646,0.47862,1.4038,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
